occupants,lighting_interior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures,Vacancy,Power Outage
0.6,0.232,0.232,0.933,0.0,0.0,0.333,0.334,0.624,0.624,0.0,0.0,0.0,0,0
0.6,0.232,0.232,0.4,0.0,0.0,0.0,0.334,0.624,0.624,0.0,0.0,0.282,0,0
0.6,0.232,0.232,1.0,0.0,0.0,0.0,0.334,0.624,0.624,0.0,0.0,0.188,0,0
0.6,0.232,0.232,1.0,0.0,0.0,0.0,0.334,0.624,0.624,0.0,0.0,0.0,0,0
0.4,0.284,0.284,0.667,0.0,0.0,0.0,0.373,0.639,0.639,0.0,0.0,0.0,0,0
0.4,0.284,0.284,0.0,0.0,0.0,0.0,0.373,0.639,0.639,0.0,0.0,0.188,0,0
0.6,0.402,0.402,0.0,0.0,0.0,0.0,0.43,0.726,0.726,0.0,0.0,0.0,0,0
0.6,0.402,0.402,0.0,0.0,0.0,0.0,0.43,0.726,0.726,0.0,0.0,0.188,0,0
0.4,0.367,0.367,0.0,0.0,0.0,0.0,0.451,0.669,0.669,0.0,0.0,0.0,0,0
0.4,0.367,0.367,0.0,0.0,0.0,0.0,0.451,0.669,0.669,0.0,0.0,0.188,0,0
0.4,0.367,0.367,0.4,0.0,0.0,0.0,0.451,0.669,0.669,0.0,0.0,0.0,0,0
0.6,0.525,0.525,0.6,0.0,0.0,0.0,0.548,0.771,0.771,0.0,0.0,0.0,0,0
0.6,0.618,0.618,0.0,0.0,0.0,0.0,0.632,0.782,0.782,0.0,0.0,0.0,0,0
0.6,0.618,0.618,0.0,0.0,0.0,0.0,0.632,0.782,0.782,0.0,0.0,0.0,0,0
0.6,0.618,0.618,0.0,0.0,0.0,0.0,0.632,0.782,0.782,0.0,0.0,0.282,0,0
0.6,0.618,0.618,0.0,0.0,0.0,0.0,0.632,0.782,0.782,0.0,0.0,0.188,0,0
0.6,0.415,0.415,0.0,0.0,0.0,0.0,0.529,0.654,0.654,0.0,0.0,0.0,0,0
0.6,0.415,0.415,0.0,0.0,0.0,0.0,0.529,0.654,0.654,0.0,0.0,0.0,0,0
0.8,0.597,0.597,0.0,0.0,0.0,0.0,0.665,0.748,0.748,0.0,0.0,0.0,0,0
0.6,0.415,0.415,0.0,0.0,0.0,0.0,0.529,0.654,0.654,0.0,0.0,0.094,0,0
0.6,0.339,0.339,0.0,0.0,0.0,0.0,0.552,0.631,0.631,0.0,0.0,0.094,0,0
0.6,0.339,0.339,0.0,0.0,0.0,0.0,0.552,0.631,0.631,0.0,0.0,0.094,0,0
0.6,0.339,0.339,0.0,0.0,0.0,0.0,0.552,0.631,0.631,0.0,0.0,0.376,0,0
0.6,0.339,0.339,0.0,0.0,0.0,0.0,0.552,0.631,0.631,0.0,0.426,0.0336,0,0
0.8,0.263,0.263,0.0,0.0,0.667,0.0,0.541,0.616,0.616,0.0,0.384,0.111,0,0
1.0,0.37,0.37,0.0,0.0,0.267,0.733,0.682,0.692,0.692,0.0,0.0,0.0,0,0
1.0,0.37,0.37,0.0,0.0,0.0,1.0,0.682,0.692,0.692,0.0,0.0,0.137,0,0
1.0,0.37,0.37,0.0,0.0,0.0,0.4,0.682,0.692,0.692,0.0,0.0,0.431,0,0
1.0,0.326,0.326,0.0,0.0,0.0,0.0,0.598,0.636,0.636,0.0,0.0,0.188,0,0
1.0,0.326,0.326,0.0,0.0,0.0,0.0,0.598,0.636,0.636,0.0,0.0,0.0,0,0
1.0,0.234,0.234,0.0,0.0,0.0,0.0,0.485,0.579,0.579,0.0,0.0,0.0,0,0
1.0,0.234,0.234,0.0,0.0,0.0,0.0,0.485,0.579,0.579,0.0,0.0,0.094,0,0
1.0,0.129,0.129,0.0,0.0,0.0,0.0,0.434,0.549,0.549,0.0,0.0,0.0,0,0
0.8,0.0892,0.0892,0.0,0.0,0.0,0.0,0.346,0.507,0.507,0.0,0.0,0.0,0,0
0.8,0.0892,0.0892,0.0,0.0,0.0,0.0,0.346,0.507,0.507,0.0,0.0,0.282,0,0
0.8,0.0892,0.0892,0.0,0.0,0.0,0.0,0.346,0.507,0.507,0.0,0.0,0.0,0,0
